iter	RMSE
0	864.2083697
1	863.5460311
2	862.9507066
3	862.5117391
4	862.1221753
5	861.7448619
6	861.2142455
7	860.7313253
8	860.32394
9	859.9911052
10	859.7468203
11	859.572114
12	859.4334779
13	859.2325462
14	859.1077802
15	858.863218
16	858.7219146
17	858.6100889
18	858.3277161
19	858.2592275
20	857.8358568
21	857.7685197
22	857.7041679
23	857.4666622
24	857.4038346
25	857.2953464
26	857.0755917
27	856.944828
28	856.8765888
29	856.8337823
30	856.6637937
31	856.5904436
32	856.5016368
33	856.3885088
34	856.1666812
35	856.0404132
36	855.911658
37	855.8566726
38	855.8013464
39	855.6860318
40	855.6316328
41	855.4453518
42	855.3768259
43	855.3392157
44	855.3265211
45	855.1574724
46	855.0128609
47	855.0006879
48	854.9682406
49	854.7716009
50	854.730083
51	854.6044261
52	854.4819162
53	854.4314122
54	854.3977349
55	854.3272221
56	854.3037823
57	854.2557457
58	854.1497754
59	854.0643717
60	854.0218474
61	853.9794918
62	853.9122123
63	853.8088171
64	853.7475411
65	853.642459
66	853.6167143
67	853.5479297
68	853.512155
69	853.496872
70	853.4588286
71	853.4357204
72	853.3949486
73	853.3726406
74	853.3634142
