iter	Passed	Remaining
0	564	41794
1	987	36061
2	1435	34444
3	2000	35516
4	2435	34096
5	3118	35862
6	3637	35333
7	4073	34114
8	4636	34004
9	5091	33091
10	5862	34109
11	6703	35192
12	7340	35009
13	8207	35760
14	8685	34742
15	9153	33753
16	9633	32866
17	10107	32006
18	10718	31592
19	11405	31364
20	12118	31162
21	12938	31170
22	13990	31629
23	15051	31985
24	15886	31772
25	16397	30903
26	16878	30006
27	17373	29162
28	17928	28437
29	18531	27797
30	19249	27322
31	19867	26697
32	20392	25954
33	20876	25175
34	21362	24413
35	21832	23651
36	22351	22955
37	22893	22290
38	23471	21666
39	23966	20970
40	24442	20269
41	24935	19592
42	26032	19372
43	26658	18782
44	27243	18162
45	27744	17490
46	28228	16817
47	28702	16144
48	29165	15475
49	29671	14835
50	30165	14195
51	30758	13604
52	31568	13103
53	32172	12511
54	32722	11899
55	33363	11319
56	33874	10697
57	34439	10094
58	35096	9517
59	35694	8923
60	36189	8305
61	36701	7695
62	37244	7094
63	37760	6490
64	38307	5893
65	39012	5319
66	39674	4737
67	40300	4148
68	40854	3552
69	41341	2952
70	41932	2362
71	42496	1770
72	43114	1181
73	43594	589
74	44060	0
